price	cut	color	clarity	depth	table	x	y	z
2761	Ideal	F	SI2	58.8	57	6.14	6.11	3.6
2761	Ideal	E	VVS2	62	55	5.38	5.43	3.35
2761	Ideal	F	SI2	61.4	57	5.96	6	3.67
2761	Ideal	E	SI2	62.2	56	5.8	5.84	3.62
2761	Premium	I	VS2	63	58	6.16	6.12	3.87
2762	Very Good	G	SI1	62.2	59	5.73	5.82	3.59
2762	Ideal	F	VS2	62.6	56	5.77	5.74	3.6
2762	Ideal	F	VS2	62.7	53	5.8	5.75	3.62
2762	Ideal	G	VS2	62.4	54	5.72	5.76	3.58
2762	Ideal	E	VS2	60.7	58	5.73	5.76	3.49
2762	Ideal	F	SI2	59.9	59	6.01	6.07	3.62
2762	Ideal	E	SI1	62.3	54	5.8	5.83	3.62
2762	Very Good	F	VS2	61.7	63	5.64	5.61	3.47
2762	Fair	F	VS2	64.5	57	5.57	5.53	3.58
2762	Fair	F	VS2	65.3	55	5.63	5.58	3.66
2762	Premium	F	VS2	61.6	60	5.65	5.59	3.46
2763	Premium	H	SI1	61.4	56	6.09	5.97	3.7
2763	Very Good	D	VVS2	59.6	57	5.56	5.58	3.32
2763	Fair	H	SI2	64.4	57	6.11	6.09	3.93
2763	Fair	H	SI2	65.7	60	6.03	5.99	3.95
2764	Very Good	D	SI1	63.6	58	5.64	5.68	3.6
2764	Ideal	D	SI1	61.9	59	5.69	5.72	3.53
2765	Very Good	E	VS2	62.6	60	5.62	5.65	3.53
2765	Very Good	H	VS1	61.3	60	5.88	5.9	3.61
2765	Premium	E	VVS1	60.9	60	5.52	5.55	3.37
2765	Very Good	F	VS1	60.1	62	5.74	5.77	3.46
2765	Premium	F	VS1	61.8	59	5.69	5.73	3.53
2765	Ideal	H	SI1	61.2	57	5.88	5.91	3.61
2766	Premium	G	VS2	60.9	57	5.78	5.75	3.51
2767	Very Good	F	VS1	60	57	5.8	5.87	3.5
2767	Ideal	D	SI2	61.6	55	5.74	5.76	3.54
2768	Very Good	D	SI1	60.2	56	5.83	5.87	3.52
2768	Very Good	D	SI1	61.1	58	5.66	5.73	3.48
2768	Ideal	E	SI1	60.9	57	5.73	5.76	3.5
2768	Premium	D	SI2	61.7	59	5.71	5.67	3.51
2770	Premium	D	VS2	62.5	60	5.65	5.61	3.52
2770	Premium	G	VS2	60.7	58	5.87	5.82	3.55
2770	Premium	G	VS1	61.5	58	5.79	5.75	3.55
2770	Ideal	D	SI2	59.9	57	5.92	5.89	3.54
2770	Premium	G	VS2	59.2	59	5.92	5.87	3.49
2771	Very Good	F	SI1	61.7	60	5.79	5.82	3.58
2771	Ideal	G	VS2	61.9	57	5.73	5.77	3.56
2771	Ideal	F	SI2	61.9	55	5.97	5.92	3.68
2772	Very Good	H	VVS1	60.4	59	5.83	5.89	3.54
2772	Very Good	F	SI2	61	57	6.01	6.03	3.67
2772	Ideal	G	VVS1	61.5	55	5.39	5.44	3.33
2772	Ideal	F	VVS1	61.7	56	5.33	5.37	3.3
2772	Good	E	VS2	59.2	61	5.8	5.88	3.46
2773	Ideal	D	SI2	61.3	56	5.85	5.89	3.6
2773	Premium	D	VS2	58	62	5.87	5.78	3.38
2774	Ideal	E	SI1	62.7	55	5.68	5.74	3.58
2774	Good	I	VS2	64.6	54	5.85	5.88	3.79
2776	Very Good	G	VS2	63.7	56.4	5.62	5.69	3.61
2776	Premium	E	VS2	62.7	58	5.74	5.68	3.58
2776	Ideal	E	VS2	62.2	57	5.79	5.62	3.55
2776	Ideal	E	VVS2	61.6	56	5.25	5.27	3.24
2776	Ideal	E	VVS2	61.5	57	5.24	5.26	3.23
2776	Ideal	G	SI1	61.8	56	5.72	5.75	3.55
2776	Ideal	G	SI1	60.7	56	5.79	5.82	3.53
2776	Good	G	VS2	59.7	60.5	5.8	5.84	3.47
2777	Very Good	D	VS1	62.7	58	5.66	5.73	3.57
2777	Very Good	F	VS2	62.8	57	5.64	5.69	3.56
2777	Good	F	VS2	63.8	58	5.61	5.64	3.59
2777	Ideal	E	VS2	62.1	55	5.7	5.67	3.53
2777	Premium	E	VS2	61.1	60	5.71	5.64	3.47
2777	Premium	E	SI1	61.2	57	5.73	5.68	3.49
2777	Premium	E	SI1	62.7	59	5.67	5.63	3.54
2777	Premium	E	SI1	61	57	5.73	5.68	3.48
2777	Premium	E	SI1	61	58	5.78	5.72	3.51
2777	Ideal	E	SI1	61.4	57	5.76	5.7	3.52
2777	Premium	F	SI1	61.8	61	5.82	5.71	3.56
2777	Premium	E	SI1	60.5	58	5.77	5.74	3.48
2777	Fair	H	SI2	67.9	60	6.05	5.97	4.08
2777	Very Good	E	SI1	63.2	60	5.6	5.51	3.51
2778	Ideal	F	VVS1	61.3	55	5.19	5.22	3.19
2779	Very Good	H	VS2	60.8	56	5.82	5.84	3.55
2780	Very Good	F	VS2	63.6	57	5.61	5.65	3.58
2780	Premium	G	VS2	61.2	58	5.9	5.93	3.62
2780	Ideal	F	VS2	62.1	54	5.68	5.72	3.54
2780	Ideal	G	VS1	61.5	55	5.81	5.86	3.59
2780	Ideal	G	VS1	61.4	59	5.64	5.73	3.49
2781	Ideal	H	SI1	62.2	56	5.83	5.88	3.64
2781	Ideal	H	SI1	61.2	56	5.92	5.99	3.64
2782	Very Good	H	VS1	60.6	63	5.83	5.76	3.51
2782	Very Good	D	VVS2	57.5	64	5.34	5.37	3.08
2782	Good	E	VS1	57.2	62	5.81	5.77	3.31
2782	Premium	E	VS1	62.9	60	5.62	5.54	3.51
2782	Very Good	D	SI2	63.1	58	5.78	5.73	3.63
2782	Ideal	D	SI1	60.8	57	5.76	5.75	3.5
2782	Premium	D	SI1	62.7	59	5.73	5.69	3.58
2782	Premium	D	SI1	62.8	60	5.68	5.66	3.56
2782	Fair	G	SI1	55.1	67	6.39	6.2	3.47
2782	Premium	F	SI1	61.4	59	5.88	5.85	3.6
2783	Ideal	F	IF	62.2	55	5.14	5.18	3.21
2784	Very Good	F	VS2	63	54	5.69	5.73	3.6
2784	Very Good	H	VS1	63.7	56	5.85	5.92	3.75
2787	Very Good	F	VS2	63.6	58	5.66	5.69	3.61
2787	Ideal	F	VVS1	62	57	5.11	5.15	3.18
2788	Very Good	H	VVS1	60.5	60	5.74	5.77	3.48
2788	Very Good	I	VS1	61.1	60	6.07	6.1	3.72
2788	Ideal	I	VVS2	61.8	56	5.85	5.87	3.62
2788	Good	G	VS1	59.4	64	5.97	5.92	3.53
2788	Ideal	F	SI1	62.5	55	5.71	5.65	3.55
2788	Fair	E	I1	64.5	58	6.29	6.21	4.03
2788	Premium	H	SI2	62.7	59	6.31	6.22	3.93
2789	Good	E	SI1	63.7	54	5.76	5.85	3.7
2789	Premium	E	SI1	60.4	58	5.92	5.94	3.58
2789	Very Good	J	SI2	63.2	56	6.49	6.45	4.09
2789	Ideal	G	SI2	61.6	56	5.97	6.01	3.69
2789	Ideal	G	IF	60.9	57	5.28	5.3	3.22
2789	Good	G	SI2	61	61	5.94	5.99	3.64
2789	Premium	E	VVS2	62.1	57	5.48	5.41	3.38
2789	Premium	E	VVS1	60.9	60	5.55	5.52	3.37
2789	Premium	H	VS1	61.3	60	5.9	5.88	3.61
2789	Fair	J	SI2	65.8	59	6.41	6.27	4.18
2790	Ideal	G	IF	61.3	56	5.54	5.58	3.41
2790	Ideal	F	SI2	62.3	55	6.02	6.05	3.76
2790	Premium	F	VS1	60.1	62	5.77	5.74	3.46
2790	Premium	F	VS1	61.8	59	5.73	5.69	3.53
2791	Very Good	I	SI1	63.6	55.8	6.07	6.1	3.87
2792	Premium	E	SI1	59.2	59	5.83	5.86	3.46
2792	Ideal	E	SI1	61.3	55	5.72	5.77	3.52
2792	Premium	F	VS1	60.7	60	5.78	5.75	3.5
2792	Premium	H	VVS2	59.6	57	5.91	5.86	3.51
2792	Ideal	F	VS1	62.2	56	5.73	5.68	3.55
2793	Very Good	E	VS2	62.9	57	5.66	5.69	3.57
2793	Good	E	VS2	64.1	55	5.6	5.66	3.61
2793	Ideal	I	VS2	61.3	56	5.87	5.91	3.61
2794	Very Good	E	SI1	63.2	56	5.91	5.86	3.72
2795	Very Good	E	VS2	60.7	56	5.81	5.82	3.53
2795	Premium	I	VVS2	61.9	60	5.91	5.86	3.64
2795	Good	F	VS1	60.7	60	5.74	5.72	3.48
2795	Premium	D	SI2	62	60	5.73	5.69	3.54
2795	Premium	H	VS2	58	59	6.17	6.13	3.57
2795	Premium	I	SI2	58.2	60	6.61	6.55	3.83
2796	Good	E	SI1	63.2	58	5.7	5.76	3.62
2797	Very Good	E	SI1	60.3	60	6.07	6.1	3.67
2797	Premium	D	SI1	62.7	60	5.67	5.71	3.57
2797	Ideal	F	VVS2	61.9	55	5.34	5.35	3.31
2797	Ideal	D	VVS1	61.7	56	5.12	5.16	3.17
2797	Ideal	H	VS1	61.6	56	5.81	5.82	3.58
2797	Fair	E	SI2	67.4	60	6.19	6.05	4.13
2798	Ideal	I	VS1	61.5	59	5.87	5.91	3.62
2800	Very Good	G	IF	61.6	56	5.43	5.46	3.35
2800	Good	I	SI2	62.2	59	6.07	6.11	3.79
2800	Premium	E	VS1	62.2	58	5.6	5.66	3.5
2800	Very Good	I	SI2	61.3	56	6.17	6.23	3.8
2800	Ideal	G	SI1	62.3	57	5.99	6.08	3.76
2800	Ideal	G	SI1	61.8	57	6.03	6.07	3.74
2800	Very Good	H	SI1	62.5	59	5.95	6.02	3.74
2800	Premium	G	VS1	62.9	60	5.74	5.68	3.59
2800	Ideal	I	VS1	61.8	59	5.92	5.95	3.67
2800	Fair	G	VS1	59	70	5.89	5.8	3.46
2801	Ideal	F	VS2	62.5	55	5.8	5.76	3.61
2801	Ideal	H	SI1	60.4	57	5.93	5.96	3.59
2801	Good	F	VS2	57.8	60	5.9	5.87	3.4
2801	Premium	G	I1	62.2	58	6.46	6.41	4
2801	Premium	J	SI2	62.3	58	6.45	6.34	3.98
2802	Very Good	G	SI2	59.9	58	6.19	6.23	3.72
2803	Ideal	G	VS2	61.3	56	5.75	5.71	3.51
2803	Ideal	E	SI1	60.6	54	5.84	5.89	3.55
2803	Good	G	VS1	65.1	58	5.56	5.59	3.63
2803	Premium	F	VS2	62.6	58	5.7	5.67	3.56
2803	Premium	F	VS2	58	62	5.85	5.81	3.38
2803	Premium	G	VS1	62.4	61	5.7	5.65	3.54
2803	Premium	G	VS2	61.3	57	5.93	5.88	3.62
2803	Premium	G	VS2	59.9	60	5.81	5.77	3.47
2803	Ideal	D	SI2	62.2	57	6.21	6.15	3.85
2804	Very Good	E	VS2	63.8	58	5.62	5.66	3.6
2804	Very Good	E	SI2	62.5	56	5.88	5.96	3.7
2804	Very Good	D	SI1	62.3	58	5.69	5.73	3.56
2804	Ideal	F	VS1	61.7	57	5.74	5.77	3.55
2804	Very Good	F	VS1	62.2	58	5.75	5.7	3.56
2804	Ideal	D	SI1	62.2	56	5.74	5.77	3.58
2804	Ideal	D	SI1	61.5	54	5.77	5.8	3.56
2804	Fair	I	SI1	67.3	59	5.93	5.84	3.96
2805	Premium	F	VS2	61.7	58	5.85	5.78	3.59
2805	Premium	F	VS2	61.9	56	5.8	5.77	3.58
2805	Ideal	E	SI2	61.8	58	5.77	5.81	3.58
2805	Fair	E	VVS1	58.7	66	5.34	5.43	3.16
2805	Premium	F	VS2	62.5	57	5.75	5.7	3.58
2805	Fair	F	VS2	61.1	68	5.82	5.75	3.53
2805	Good	G	VS2	64	57	5.92	5.89	3.78
2806	Very Good	G	SI1	62.5	60	5.89	5.94	3.69
2806	Very Good	H	VVS1	60.6	58	5.85	5.9	3.56
2806	Ideal	F	SI1	61.6	55	5.72	5.74	3.53
2807	Very Good	F	VS1	62.2	58	5.66	5.72	3.54
2807	Very Good	F	VS1	60	57	5.84	5.9	3.52
2808	Very Good	H	VS2	62.8	57	5.87	5.91	3.7
2808	Very Good	F	VS1	62	57	5.64	5.71	3.52
2808	Very Good	G	VS2	63.4	56	5.78	5.74	3.65
2808	Ideal	E	VVS2	60.9	56	5.41	5.43	3.3
2808	Very Good	D	SI1	63.1	57	5.74	5.7	3.61
2809	Very Good	F	SI1	63.1	59	5.85	5.79	3.67
2809	Premium	D	SI2	59.2	57	6.15	6.05	3.61
2809	Premium	F	SI1	60.7	54	5.84	5.8	3.53
2809	Fair	F	I1	64.6	56	6.73	6.66	4.33
2810	Very Good	F	VS1	61.8	56	5.63	5.7	3.5
2810	Very Good	F	VS1	59.9	60	5.77	5.84	3.48
2810	Ideal	D	SI2	61.7	55	5.81	5.85	3.6
2810	Good	F	VS1	62.8	61	5.57	5.61	3.51
2810	Good	G	SI1	62.7	57	5.84	5.93	3.69
2811	Very Good	F	SI1	63.4	58	5.72	5.76	3.64
2811	Very Good	D	SI1	63.5	54	5.98	5.95	3.79
2811	Fair	I	SI2	68.1	56	6.21	6.06	4.18
2812	Very Good	F	VS2	59.5	58	5.75	5.85	3.45
2812	Good	E	SI1	63.5	59	5.49	5.53	3.5
2812	Very Good	F	VS2	61.7	58	5.63	5.69	3.49
554	Premium	I	SI1	62.7	58	4.37	4.34	2.73
554	Premium	I	SI1	62.8	58	4.39	4.34	2.74
554	Premium	I	SI1	61	59	4.39	4.36	2.67
554	Premium	H	SI1	60.9	59	4.31	4.29	2.62
554	Premium	H	SI1	60.1	55	4.41	4.38	2.64
554	Very Good	H	SI1	63.3	56	4.29	4.27	2.71
554	Good	H	SI1	63.8	55	4.26	4.2	2.7
554	Ideal	H	SI1	62.9	57	4.27	4.22	2.67
554	Very Good	H	SI1	63.4	60	4.25	4.23	2.69
554	Ideal	H	SI2	61.4	56	4.85	4.79	2.95
555	Very Good	F	SI1	61.8	58	4.32	4.35	2.68
555	Ideal	H	VS2	61.5	56	4.47	4.5	2.76
555	Ideal	H	VS2	60.4	57	4.54	4.57	2.75
555	Ideal	I	VS1	61.8	55	4.48	4.52	2.78
555	Ideal	F	VS1	61.6	56	4.26	4.31	2.64
555	Ideal	G	SI1	60.6	56	4.56	4.58	2.77
555	Very Good	E	I1	58.4	62	4.94	5	2.9
556	Very Good	F	VS2	61.4	58	4.37	4.42	2.7
556	Ideal	E	VS1	61.5	57	4.09	4.12	2.52
2812	Very Good	F	VS2	62.3	58	5.64	5.72	3.54
2812	Ideal	D	SI1	62.4	57	5.69	5.72	3.56
2812	Fair	J	SI1	55	61	6.72	6.67	3.68
2812	Ideal	F	VVS1	62	57	5.15	5.11	3.18
2813	Premium	G	SI2	59.8	58	6.3	6.29	3.77
2813	Very Good	E	SI1	63.4	55	6	5.95	3.79
2814	Ideal	E	SI1	61.7	57	5.88	5.85	3.62
2814	Premium	E	SI1	61.1	59	5.86	5.83	3.57
2815	Very Good	D	VVS1	61.5	56	5.23	5.27	3.23
2815	Very Good	F	SI2	58.5	62	5.93	6.01	3.49
2815	Premium	G	VS1	61.7	58	5.79	5.81	3.58
2815	Ideal	H	SI1	60.4	56	5.75	5.81	3.49
2815	Ideal	H	SI1	61.4	56	5.7	5.76	3.52
2815	Ideal	H	SI1	61.4	56	5.72	5.77	3.53
2815	Fair	J	VS2	65	56	6.08	6.04	3.94
2815	Fair	F	SI2	56	60	6.62	6.53	3.68
2815	Premium	H	SI2	60.2	59	6.26	6.23	3.76
2815	Premium	E	VS2	58.3	58	5.99	5.92	3.47
2815	Fair	E	SI2	53.1	63	6.73	6.65	3.55
2815	Premium	G	I1	60.3	58	6.55	6.5	3.94
2816	Very Good	I	VVS2	61.4	56	5.91	5.95	3.64
2816	Good	D	VS1	63.4	55	5.61	5.69	3.58
2816	Premium	F	SI1	61.5	59	5.96	5.88	3.64
2816	Ideal	H	SI2	62.7	56	6.16	6.13	3.85
2817	Premium	E	SI1	61.3	56	5.78	5.73	3.53
2817	Premium	E	VS2	62.3	58	5.69	5.65	3.53
2817	Premium	E	SI1	59.2	59	5.86	5.83	3.46
2817	Ideal	E	SI1	61.3	55	5.77	5.72	3.52
2817	Premium	E	SI1	61.4	58	5.77	5.73	3.53
2817	Good	E	SI1	62.8	64	5.6	5.54	3.5
2818	Premium	E	VS2	59.3	60	5.78	5.73	3.41
2818	Premium	E	VS2	63	60	5.64	5.6	3.54
2818	Premium	H	I1	61.3	60	6.43	6.39	3.93
2818	Premium	F	SI2	59.3	62	6.36	6.22	3.73
2818	Ideal	H	SI1	61	57	6.07	6	3.68
2818	Ideal	E	VS1	62.9	57	5.66	5.61	3.54
2818	Premium	E	VS1	59.6	57	5.91	5.83	3.5
2818	Premium	F	VS2	61.8	60	5.69	5.64	3.5
2818	Premium	E	VS1	62.7	57	5.68	5.64	3.55
2818	Fair	H	SI2	65.3	62	6.34	6.12	4.08
2819	Good	F	SI2	64.3	60	5.97	5.95	3.83
2820	Ideal	G	VS1	62.9	58	5.66	5.69	3.57
2821	Ideal	E	SI1	62	57	5.8	5.78	3.59
2821	Premium	E	VS2	61.6	59	5.77	5.73	3.54
2821	Ideal	E	VVS1	61.9	55	5.2	5.21	3.22
2821	Premium	E	SI1	61.3	58	5.83	5.76	3.55
2821	Good	E	SI1	63.6	57	5.72	5.7	3.63
2821	Premium	E	SI1	59.6	61	5.92	5.85	3.51
2821	Premium	E	SI1	62.2	59	5.77	5.68	3.56
2821	Premium	D	SI1	61.7	55	5.84	5.82	3.6
2821	Very Good	E	SI1	63.2	58	5.76	5.7	3.62
2822	Premium	E	VS1	60.8	60	5.74	5.71	3.48
2822	Premium	E	VS2	60.9	60	5.8	5.76	3.52
2822	Premium	E	VS2	62.4	59	5.77	5.7	3.58
2822	Premium	E	VS2	60.2	60	5.73	5.7	3.44
2822	Ideal	F	VVS2	62	55	5.37	5.4	3.34
2822	Ideal	I	VVS1	60.8	57	5.85	5.89	3.57
2822	Premium	D	SI1	62.7	60	5.71	5.67	3.57
2822	Premium	D	SI1	61.3	58	5.75	5.73	3.52
2822	Ideal	D	SI1	60.7	56	5.75	5.72	3.48
2822	Good	J	VS2	64	61	6.04	6.03	3.86
2822	Ideal	D	SI1	60.2	56	5.86	5.83	3.52
2822	Premium	E	VS2	61.5	59	5.73	5.68	3.51
2822	Premium	E	VS2	62.6	56	5.71	5.66	3.56
2822	Ideal	D	SI1	59.7	58	5.82	5.77	3.46
2822	Ideal	D	SI1	62.5	57	5.62	5.59	3.51
2822	Ideal	D	SI1	61.8	56	5.73	5.63	3.51
2822	Premium	E	VS2	60.7	62	5.72	5.68	3.46
2822	Premium	F	VS2	60.6	58	5.8	5.72	3.49
2822	Ideal	D	SI1	61.4	54	5.75	5.71	3.52
2823	Very Good	D	SI2	62.8	59	5.86	5.9	3.69
2823	Good	I	SI1	63.8	57	6.06	6.13	3.89
2823	Premium	E	VS2	62.3	58	5.71	5.66	3.54
2823	Ideal	E	VVS2	61.3	54	5.51	5.59	3.4
2823	Fair	H	SI2	65.8	54	6.05	5.98	3.96
2823	Ideal	E	SI1	60.5	56	5.77	5.73	3.47
2824	Premium	D	VS2	61.2	59	5.74	5.69	3.5
2824	Ideal	I	VVS2	62.1	57	5.84	5.86	3.63
2824	Good	E	VS1	63.1	58	5.73	5.75	3.62
2824	Ideal	F	SI2	62.4	54	6.02	5.97	3.74
2824	Premium	E	SI2	60.8	60	6.05	6.03	3.67
2825	Premium	G	VS1	62.2	59	5.73	5.66	3.54
2825	Premium	H	SI1	60	59	6.08	6.05	3.64
2825	Very Good	G	VS1	62	57	5.75	5.8	3.58
2825	Premium	H	SI1	62.5	59	6.02	5.95	3.74
2825	Premium	J	I1	60.2	61	6.9	6.83	4.13
2825	Fair	H	SI2	61.3	67	6.24	6.19	3.81
2826	Premium	E	VS1	62.6	60	5.75	5.68	3.58
2826	Very Good	D	VS2	63.3	56	5.6	5.58	3.54
2826	Premium	E	VS1	59.4	61	5.78	5.74	3.42
2826	Very Good	I	SI2	63.5	56	6.17	6.07	3.88
2826	Ideal	F	I1	60.7	55	6.41	6.37	3.88
2827	Very Good	D	SI1	62.3	59	5.67	5.7	3.54
2827	Good	D	VS2	64	54	5.68	5.7	3.64
2827	Premium	H	VVS2	62.6	58	5.96	5.9	3.71
2827	Ideal	H	VVS1	61.6	57	5.69	5.74	3.52
2827	Ideal	H	VVS1	62.3	55	5.66	5.7	3.54
2828	Premium	H	SI2	61.6	61	6.39	6.31	3.91
2829	Premium	F	VS1	62.2	58	5.75	5.7	3.56
2829	Good	E	SI2	63.7	54	5.91	5.87	3.75
2829	Ideal	E	VVS1	62	56	5.36	5.38	3.33
2829	Ideal	F	VS1	61.7	57	5.77	5.74	3.55
2829	Premium	E	SI2	61.9	57	5.88	5.82	3.62
2829	Premium	E	SI2	60.2	57	6.05	6.01	3.63
2830	Very Good	E	VS2	62.7	59	5.65	5.7	3.56
2830	Very Good	H	SI1	61.7	56	5.84	5.89	3.62
2830	Ideal	F	I1	60.7	56	6.41	6.43	3.9
2830	Ideal	F	VVS1	61.8	57	5.16	5.19	3.2
2830	Premium	G	SI1	60.6	62	6.21	6.13	3.74
2831	Very Good	E	SI2	60.8	60	5.89	5.98	3.61
2831	Ideal	E	SI1	62.3	57	5.7	5.76	3.57
2831	Ideal	E	SI1	61.4	57	5.82	5.87	3.59
2832	Very Good	F	VS2	62.5	58	5.71	5.75	3.58
2832	Very Good	I	SI2	62.8	61	6.15	6.18	3.87
2832	Premium	G	SI1	63	60	5.87	5.81	3.68
2832	Ideal	H	SI1	62.5	57	5.91	5.97	3.71
2832	Premium	F	VS1	62.2	58	5.72	5.66	3.54
2833	Very Good	I	VS2	62	58	5.86	5.95	3.66
2833	Very Good	E	IF	61	59	5.28	5.34	3.24
2833	Ideal	D	VS2	61	57	5.74	5.76	3.51
2834	Ideal	G	VS2	62.2	56	5.94	5.87	3.67
2834	Ideal	H	VS2	62.8	57	5.91	5.87	3.7
2834	Very Good	D	VVS1	59.9	58	5.16	5.19	3.1
2834	Ideal	F	VVS1	61.4	57	5.2	5.23	3.2
2834	Ideal	I	VS2	61.8	55	5.92	5.95	3.67
2834	Very Good	J	SI1	63.4	54	6.17	6.14	3.9
2834	Ideal	E	SI2	60.7	55	6.01	5.95	3.63
2835	Ideal	F	VS1	61.2	56	5.89	5.81	3.58
2835	Ideal	F	VVS2	61.9	57	5.47	5.51	3.4
2835	Ideal	E	VS2	61.5	54	5.7	5.75	3.52
2835	Ideal	E	VS2	62.8	57	5.71	5.73	3.59
2835	Ideal	E	SI1	61	57	5.78	5.8	3.53
2835	Premium	F	VS2	59.6	59	6.04	5.94	3.57
2836	Very Good	H	SI1	60.7	56	6.04	6.06	3.67
2837	Premium	E	VS1	62.6	59	5.69	5.66	3.55
2837	Ideal	E	VS1	61.8	56	5.74	5.69	3.53
2838	Ideal	F	SI1	59.8	53	5.86	5.82	3.49
2838	Very Good	H	SI1	60.9	55	5.92	5.94	3.61
2838	Fair	F	SI1	64.9	58	5.83	5.79	3.77
2838	Premium	F	VS2	61.7	58	5.69	5.63	3.49
2838	Very Good	E	SI1	63.5	59	5.53	5.49	3.5
